rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	framewise_displacement
-0.000259887	-0.000496926	0.0	-0.00548944	-0.0558759	0.0303268	0.0
-0.000114638	0.000318295	0.0	0.0129909	-0.0348207	0.0434969	0.10072914
-0.000263914	1.54592e-05	0.0	0.017277	-0.0549101	0.0339654	0.05651259
-0.00057274	-0.000422469	-0.000362215	5.25175e-06	0.0325421	0.03926	0.16546700825000002
-0.000362767	-0.000240787	0.0	-0.0100134	-0.00730772	0.0635485	0.11185047174999999
-0.000121771	-0.000422469	-0.000383655	1.47162e-05	0.017894	0.0332414	0.1058535862
-0.000105154	-0.000422469	-0.000115548	-0.015898	-0.0316446	0.0332545	0.07970061619999999
-0.00061981	0.000184056	0.0	0.0215	0.0145403	0.0332392	0.14543465
-0.000540185	-0.000199467	-0.000382057	1.36721e-05	0.0152363	0.0332386	0.06444317790000001
-0.0007242289999999	-0.000547864	-0.000225792	-0.0100057	0.0282988	0.0104835	0.08027227209999499
-0.000520932	-0.000422469	0.0	-0.010003	-0.023819	0.00963646	0.080691739999995
-0.000576377	-0.000422469	0.0	-2.96018e-06	0.0161507	-0.0142672	0.07664564982
-0.000115651	-0.000422469	-9.29507e-05	-4.67492e-06	0.0298482	-0.0085752	0.04707504974
-0.000647773	-0.000422469	0.0	-0.0181996	0.0104166	0.0104963	0.08795166008
-0.000363298	-0.000473884	-0.000115245	-0.0181923	0.00817696	0.0105116	0.024818989999999996
-0.000254353	-0.000302399	0.0	-0.0182002	0.00861283	0.0104889	0.020250219999999996
-4.35335e-06	-0.000422469	0.0	-0.0181996	0.0550877	-0.0084428999999999	0.08391075249999991
-0.000411064	-0.000219769	0.0	-0.00188597	0.0289352	0.0104963	0.0918758624999999
6.52513e-05	-0.00022951	0.0	-0.0186053	0.0310699	0.0320002	0.064660745
-0.000206302	-0.000272752	-6.9208e-05	-0.0185965	0.00549758	0.0378276	0.050608685000000014
-0.000529811	-0.000202835	-0.000311644	-0.0185793	0.0179902	0.0105597	0.07157082000000001
-0.000663785	-8.98272e-05	-7.936209999999998e-05	-0.018594	0.0260411	0.0105813	0.032050385
0.000270268	-0.000422469	-5.2701e-05	-0.0185959	0.00552555	-0.0162227	0.111989245
-0.000140941	-0.000293509	0.0	-0.018596	0.022018	-0.0223205	0.052233850000000005
0.000178269	-0.000422469	-6.65173e-05	-0.0185983	0.0346341	-0.024326	0.040358265
-0.000140941	-0.000422469	-9.95647e-05	-0.0185979	0.0445494	-0.0252517	0.02845427
-0.000120005	-0.000194028	0.0	-0.0185961	0.0220178	-0.0283088	0.043037585
6.35332e-05	0.00012208	0.0	-0.0185845	0.0247885	-0.0255652	0.03050821
